run_number,framework,scenario,timestamp,metric_name,value,unit
3,Angular,filter-application,2025-12-14T00:26:31.421Z,total_filter_time,100,ms
3,Angular,filter-application,2025-12-14T00:26:31.421Z,memory_delta,0,bytes
3,Angular,filter-application,2025-12-14T00:26:31.421Z,filtered_row_count,11,count
3,Angular,filter-application,2025-12-14T00:26:31.421Z,js_execution_time,103.89999999999418,ms
4,Angular,filter-application,2025-12-14T00:26:34.144Z,filter_duration,112.39999999999418,ms
4,Angular,filter-application,2025-12-14T00:26:34.144Z,total_filter_time,112,ms
4,Angular,filter-application,2025-12-14T00:26:34.144Z,memory_delta,0,bytes
4,Angular,filter-application,2025-12-14T00:26:34.144Z,filtered_row_count,11,count
4,Angular,filter-application,2025-12-14T00:26:34.144Z,js_execution_time,112.39999999999418,ms
5,Angular,filter-application,2025-12-14T00:26:36.861Z,filter_duration,108.29999999998836,ms
5,Angular,filter-application,2025-12-14T00:26:36.861Z,total_filter_time,105,ms
5,Angular,filter-application,2025-12-14T00:26:36.861Z,memory_delta,0,bytes
5,Angular,filter-application,2025-12-14T00:26:36.861Z,filtered_row_count,11,count
5,Angular,filter-application,2025-12-14T00:26:36.861Z,js_execution_time,108.29999999998836,ms
1,Angular,clear-filters,2025-12-14T00:26:40.855Z,clear_duration,503.3999999999942,ms
1,Angular,clear-filters,2025-12-14T00:26:40.855Z,total_clear_time,425,ms
1,Angular,clear-filters,2025-12-14T00:26:40.855Z,memory_delta,0,bytes
1,Angular,clear-filters,2025-12-14T00:26:40.855Z,restored_row_count,50,count
2,Angular,clear-filters,2025-12-14T00:26:44.532Z,clear_duration,475.29999999998836,ms
2,Angular,clear-filters,2025-12-14T00:26:44.532Z,total_clear_time,396,ms
2,Angular,clear-filters,2025-12-14T00:26:44.532Z,memory_delta,0,bytes
2,Angular,clear-filters,2025-12-14T00:26:44.532Z,restored_row_count,50,count
3,Angular,clear-filters,2025-12-14T00:26:48.367Z,clear_duration,677.1000000000058,ms
3,Angular,clear-filters,2025-12-14T00:26:48.367Z,total_clear_time,591,ms
3,Angular,clear-filters,2025-12-14T00:26:48.367Z,memory_delta,0,bytes
3,Angular,clear-filters,2025-12-14T00:26:48.367Z,restored_row_count,50,count
4,Angular,clear-filters,2025-12-14T00:26:52.503Z,clear_duration,734.3999999999942,ms
4,Angular,clear-filters,2025-12-14T00:26:52.503Z,total_clear_time,646,ms
4,Angular,clear-filters,2025-12-14T00:26:52.503Z,memory_delta,0,bytes
4,Angular,clear-filters,2025-12-14T00:26:52.503Z,restored_row_count,50,count
5,Angular,clear-filters,2025-12-14T00:26:56.750Z,clear_duration,683.6000000000058,ms
5,Angular,clear-filters,2025-12-14T00:26:56.750Z,total_clear_time,597,ms
5,Angular,clear-filters,2025-12-14T00:26:56.750Z,memory_delta,0,bytes
5,Angular,clear-filters,2025-12-14T00:26:56.750Z,restored_row_count,50,count
1,Angular,expand-collapse-description,2025-12-14T00:27:00.266Z,expand_duration,115.60000000000582,ms
1,Angular,expand-collapse-description,2025-12-14T00:27:00.266Z,expand_total_time,114,ms
1,Angular,expand-collapse-description,2025-12-14T00:27:00.266Z,expand_cls_delta,0.000001980251736111111,score
1,Angular,expand-collapse-description,2025-12-14T00:27:00.266Z,collapse_duration,105.5,ms
1,Angular,expand-collapse-description,2025-12-14T00:27:00.266Z,collapse_total_time,105,ms
1,Angular,expand-collapse-description,2025-12-14T00:27:00.266Z,collapse_cls_delta,0.000001980251736111111,score
2,Angular,expand-collapse-description,2025-12-14T00:27:03.306Z,expand_duration,106.60000000000582,ms
