framework,scenario,metric_name,median,mean,min,max,std_dev,total_runs,discarded_runs
React,initial-page-load,total_bytes,450978,450978,450978,450978,0,5,
React,initial-page-load,network_duration,399,394.2,374,403,10.533755265810955,5,
React,initial-page-load,largest_request,261746,261746,261746,261746,0,5,
React,initial-page-load,avg_api_response_time,2,7.6,1,23,8.357032966310472,5,
React,initial-page-load,total_navigation_time,901,896,876,904,10.526157893552615,5,
React,filter-application,filter_duration,92.40000000002328,101.75999999998604,85.5,140.79999999998836,20.020049949986888,5,
React,filter-application,total_filter_time,92,99.2,84,132,16.998823488700623,5,
React,filter-application,memory_delta,0,0,0,0,0,5,
React,filter-application,filtered_row_count,11,11,11,11,0,5,
React,filter-application,js_execution_time,92.40000000002328,101.75999999998604,85.5,140.79999999998836,20.020049949986888,5,
React,clear-filters,clear_duration,355.20000000001164,359.179999999993,319,414.29999999998836,30.77118132278606,5,
React,clear-filters,total_clear_time,330,336.8,300,394,30.973537092169504,5,
React,clear-filters,memory_delta,0,0,0,0,0,5,
React,clear-filters,restored_row_count,50,50,50,50,0,5,
React,expand-collapse-description,expand_duration,104.10000000003492,104.54000000000232,103.59999999997672,107.19999999995343,1.3455110553031524,5,
React,expand-collapse-description,expand_total_time,103,102.8,102,104,0.7483314773547882,5,
React,expand-collapse-description,expand_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
React,expand-collapse-description,collapse_duration,104.09999999997672,104.35999999999767,103.80000000004657,105,0.4923413449878518,5,
React,expand-collapse-description,collapse_total_time,103,102.8,102,104,0.7483314773547882,5,
React,expand-collapse-description,collapse_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
React,navigate-to-detail,total_navigation_time,171,172.4,164,181,5.986651818838306,5,
React,navigate-to-detail,detail_lcp,100,103.2,88,136,17.045820602130014,5,
React,navigate-to-detail,detail_cls,0,0,0,0,0,5,
React,navigate-to-detail,memory_delta,0,0,0,0,0,5,
React,navigate-to-detail,detail_request_count,3,3,3,3,0,5,
React,navigate-to-detail,detail_total_bytes,23534,23534,23534,23534,0,5,
React,navigate-back-to-list,total_back_navigation_time,197,194.6,181,206,8.499411744350311,5,
React,navigate-back-to-list,rendered_row_count,50,50,50,50,0,5,
React,navigate-back-to-list,memory_delta,0,0,0,0,0,5,
React,pagination-cycle,page_transition_1_next,296,300.4,286,319,13.690872872099865,5,
React,pagination-cycle,page_transition_1_next_js,324.79999999998836,332.620000000007,313.5,360.30000000004657,16.60980433360766,5,
React,pagination-cycle,page_transition_2_next,272,254,193,316,45.71651780264984,5,
React,pagination-cycle,page_transition_2_next_js,296.20000000001164,313.060000000021,273.1000000000349,370.20000000001164,39.896345697314516,5,
React,pagination-cycle,page_transition_3_previous,309,300.8,249,330,27.257292602164288,5,
React,pagination-cycle,page_transition_3_previous_js,335.1000000000349,349.4800000000163,328.5,415.29999999998836,33.14853842930648,5,
React,pagination-cycle,page_transition_4_previous,308,317.4,295,345,21.37849386650051,5,
React,pagination-cycle,page_transition_4_previous_js,334.4000000000233,341.50000000001165,314,365.70000000001164,18.836454018736536,5,
React,pagination-cycle,total_cycle_time,1571,1567,1527,1596,23.85791273351464,5,
React,pagination-cycle,total_cycle_js_time,1590.2999999999884,1588.6600000000094,1560.5,1615.600000000035,18.839596598663324,5,
React,pagination-cycle,avg_page_transition,301,293.15,268.25,306.5,14.890936840910982,5,
React,pagination-cycle,min_page_transition,272,248.2,193,287,38.79896905846855,5,
React,pagination-cycle,max_page_transition,330,330.2,316,345,11.513470371699404,5,
React,pagination-cycle,avg_api_response_time,30.25,30.3,28,33,1.8934096228761488,5,
React,pagination-cycle,total_api_requests,4,4,4,4,0,5,
React,pagination-cycle,total_network_bytes,277755,277755,277755,277755,0,5,
React,pagination-cycle,memory_delta,0,0,0,0,0,5,
React,detail-navigation-cycle,initial_detail_load,670,671.2,665,680,4.955804677345547,5,
React,detail-navigation-cycle,next_navigation_time,14,15.8,12,20,3.4871191548325386,5,
React,detail-navigation-cycle,next_navigation_js,17.100000000034925,18.520000000018626,14.299999999988358,23.100000000034925,3.6880347070023896,5,
React,detail-navigation-cycle,prev_navigation_time,10,12.4,9,24,5.817215828899594,5,
React,detail-navigation-cycle,prev_navigation_js,13,15.220000000006985,11.100000000034925,27.100000000034925,6.017108940358463,5,
React,detail-navigation-cycle,total_cycle_time,336,341.4,332,359,9.624967532412771,5,
React,detail-navigation-cycle,total_cycle_js_time,337.80000000004657,342.4800000000047,333.29999999998836,360,9.531715480433979,5,
React,detail-navigation-cycle,avg_navigation_time,11.5,14.1,11,22,4.223742416388575,5,
React,detail-navigation-cycle,avg_api_response_time,1.5,1.6,1.25,2,0.2549509756796392,5,
React,detail-navigation-cycle,total_api_requests,5,5,5,5,0,5,
React,detail-navigation-cycle,total_network_bytes,19742,19742,19742,19742,0,5,
React,detail-navigation-cycle,memory_delta,0,0,0,0,0,5,
Svelte,initial-page-load,fcp,96,95.2,88,104,5.3065996645686395,5,
Svelte,initial-page-load,lcp,96,95.2,88,104,5.3065996645686395,5,
Svelte,initial-page-load,cls,0,0,0,0,0,5,
Svelte,initial-page-load,tti,12.900000000023283,13.159999999974389,11.899999999965075,14.899999999965075,1.0537551897814936,5,
Svelte,initial-page-load,tbt,0,0,0,0,0,5,
Svelte,initial-page-load,initial_heap_size,68000000,68000000,68000000,68000000,0,5,
Svelte,initial-page-load,initial_used_heap,42100000,42100000,42100000,42100000,0,5,
Svelte,initial-page-load,request_count,75,75,75,75,0,5,
Svelte,initial-page-load,total_bytes,307171,307171,307171,307171,0,5,
Svelte,initial-page-load,network_duration,929,946.2,899,998,36.01888393606887,5,
Svelte,initial-page-load,largest_request,69455,69455,69455,69455,0,5,
Svelte,initial-page-load,avg_api_response_time,2,2,0,3,1.0954451150103321,5,
Svelte,initial-page-load,total_navigation_time,605,605.8,597,615,7.222188034107115,5,
Svelte,filter-application,filter_duration,122.40000000002328,124.85999999999767,108.5,137.60000000003492,11.337301266181493,5,
Svelte,filter-application,total_filter_time,121,123.8,107,137,11.702991070662234,5,
Svelte,filter-application,memory_delta,0,0,0,0,0,5,
Svelte,filter-application,filtered_row_count,11,11,11,11,0,5,
Svelte,filter-application,js_execution_time,122.40000000002328,124.85999999999767,108.5,137.60000000003492,11.337301266181493,5,
Svelte,clear-filters,clear_duration,442,444.31999999999533,432.6000000000349,468.29999999998836,12.964474536210194,5,
Svelte,clear-filters,total_clear_time,422,423,411,447,13.16054710108968,5,
Svelte,clear-filters,memory_delta,0,0,0,0,0,5,
Svelte,clear-filters,restored_row_count,50,50,50,50,0,5,
Svelte,expand-collapse-description,expand_duration,105.80000000004657,111.21999999999534,105.19999999995343,120.90000000002328,7.04255635404943,5,
Svelte,expand-collapse-description,expand_total_time,105,109.8,104,119,6.734983296193095,5,
Svelte,expand-collapse-description,expand_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Svelte,expand-collapse-description,collapse_duration,106.40000000002328,106.62000000001862,105.89999999990687,107.90000000002328,0.6910861017465151,5,
Svelte,expand-collapse-description,collapse_total_time,105,104.8,104,106,0.7483314773547882,5,
Svelte,expand-collapse-description,collapse_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Svelte,navigate-to-detail,total_navigation_time,187,186.6,180,198,6.406246951218786,5,
Svelte,navigate-to-detail,detail_lcp,92,91.2,84,100,6.4,5,
Svelte,navigate-to-detail,detail_cls,0,0,0,0,0,5,
Svelte,navigate-to-detail,memory_delta,0,0,0,0,0,5,
Svelte,navigate-to-detail,detail_request_count,5,5,5,5,0,5,
Svelte,navigate-to-detail,detail_total_bytes,45587,45587,45587,45587,0,5,
Svelte,navigate-back-to-list,total_back_navigation_time,740,735.4,686,774,36.031097679643345,5,
Svelte,navigate-back-to-list,rendered_row_count,50,50,50,50,0,5,
Svelte,navigate-back-to-list,memory_delta,0,0,0,0,0,5,
Svelte,pagination-cycle,page_transition_1_next,312,313.2,300,322,7.756287771866126,5,
Svelte,pagination-cycle,page_transition_1_next_js,334.5,334.2799999999814,320.30000000004657,341.5,7.728492737881376,5,
Svelte,pagination-cycle,page_transition_2_next,326,320.4,292,342,20.915066339842195,5,
Svelte,pagination-cycle,page_transition_2_next_js,346,340.19999999997674,311.79999999993015,365,22.105836333420793,5,
Svelte,pagination-cycle,page_transition_3_previous,300,298.2,281,312,10.4,5,
Svelte,pagination-cycle,page_transition_3_previous_js,321.30000000004657,317.32000000001864,299,329.5,10.856039793588236,5,
Svelte,pagination-cycle,page_transition_4_previous,291,292.8,284,305,6.823488843692792,5,
Svelte,pagination-cycle,page_transition_4_previous_js,309.5999999999767,311.71999999997206,303.5,325.4000000000233,7.296958270418204,5,
Svelte,pagination-cycle,total_cycle_time,1543,1538.2,1497,1563,24.99919998719959,5,
Svelte,pagination-cycle,total_cycle_js_time,1563.7000000000698,1559.1199999999953,1497.7999999999302,1597.3000000000466,34.2376050564725,5,
Svelte,pagination-cycle,avg_page_transition,306.5,306.15,299,315.75,5.573598478541489,5,
Svelte,pagination-cycle,min_page_transition,291,290.6,281,304,8.01498596380555,5,
Svelte,pagination-cycle,max_page_transition,326,330.4,320,342,9.666436778875656,5,
Svelte,pagination-cycle,avg_api_response_time,30.75,29.75,27.75,31,1.3509256086106296,5,
Svelte,pagination-cycle,total_api_requests,4,4,4,4,0,5,
Svelte,pagination-cycle,total_network_bytes,277755,277755,277755,277755,0,5,
Svelte,pagination-cycle,memory_delta,0,0,0,0,0,5,
Svelte,detail-navigation-cycle,initial_detail_load,674,673.2,663,678,5.344155686354955,5,
Svelte,detail-navigation-cycle,next_navigation_time,14,14.4,13,16,1.0198039027185568,5,
Svelte,detail-navigation-cycle,next_navigation_js,16.900000000023283,16.020000000018626,13.70000000006985,17,1.2921300243951364,5,
Svelte,detail-navigation-cycle,prev_navigation_time,12,11.2,8,14,2.0396078054371136,5,
Svelte,detail-navigation-cycle,prev_navigation_js,13.699999999953434,12.579999999981373,9.400000000023283,14.79999999993015,2.0701690751862984,5,
Svelte,detail-navigation-cycle,total_cycle_time,337,337,334,341,2.756809750418044,5,
Svelte,detail-navigation-cycle,total_cycle_js_time,338.29999999993015,338.05999999996277,335,341.5999999999767,2.634843448854929,5,
Svelte,detail-navigation-cycle,avg_navigation_time,13,12.8,11,14,1.0295630140987,5,
